title,brand,percent,price
AN ODE [정규 3집],SEVENTEEN(세븐틴),19%,17100
SMILEY [미니 1집],YENA(최예나),19%,16300
GLITCH MODE [정규 2집] [PHOTOBOOK VER],NCT DREAM(엔시티 드림),19%,17800
HELLO FUTURE [정규 1집] [리패키지] [PHOTO BOOK VER],NCT DREAM(엔시티 드림),19%,17800
혼돈의 장: FIGHT OR ESCAPE [TOGETHER VER],TXT(투모로우바이투게더),19%,11000
YOUNG-LUV.COM [미니 2집] [JEWEL CASE VER] [6종 중 랜덤 1종],STAYC(스테이씨),18%,11900
헹가래(HENG:GARAE) [미니 7집],SEVENTEEN(세븐틴),17%,14900
혼돈의 장: FIGHT OR ESCAPE,TXT(투모로우바이투게더),19%,17800
SAVAGE [미니 1집] [HALLUCINATION QUEST VER],AESPA(에스파),19%,17800
REAL LOVE [정규 2집] [2종 세트],OH MY GIRL(오마이걸),20%,38600
ATTACCA [미니 9집] [CARAT VER],SEVENTEEN(세븐틴),19%,8900
FATAL LOVE [정규 3집],MONSTA X(몬스타엑스),20%,19300
콸콸콸 [싱글 3집],미니마니,18%,11900
GREY SUIT [미니 2집] [PHOTOBOOK VER],SUHO(수호),19%,16300
GLITCH MODE [정규 2집] [DIGIPACK VER],NCT DREAM(엔시티 드림),19%,11000
MEMEM [미니 3집] [M VER],PURPLE KISS(퍼플키스),19%,17800
MEMEM [미니 3집] [2종 세트],PURPLE KISS(퍼플키스),19%,35600
MEMEM [미니 3집] [MEME VER],PURPLE KISS(퍼플키스),19%,17800
mis [EP] [한정반],JAEMAN(재만),19%,13400
鳩集 C.J 2002 [정규 9집] [140G 화이트 컬러 LP],IM CHANGJUNG(임창정),19%,44600
8집 THE SHIN SEUNG HUN [180G CLEAR LP],SHIN SEUNGHUN(신승훈),20%,46000
4집 INVITATION [180G CLEAR RED LP],UHM JUNG HWA(엄정화),19%,25000
같은자리 [정규 1집],LEE SEOKHOON(이석훈),19%,31000
END THEORY FINAL EDITION [정규 6집] [리패키지],YOUNHA(윤하),19%,20000
RAD,RAD MUSEUM(라드뮤지엄),17%,27000
DIMENSION [미니 3집] [키트],김준수,20%,18000
건강하세모 [EP],임세모,20%,24000
DAYDREAM [정규 1집] [BEFORE THE DREAM VER],HIGHLIGHT(하이라이트),20%,24000
DAYDREAM [정규 1집] [AFTER THE DREAM VER],HIGHLIGHT(하이라이트),20%,24000
DAYDREAM [정규 1집] [IN THE DREAM VER],HIGHLIGHT(하이라이트),17%,72000
DAYDREAM [정규 1집] [3종 세트],HIGHLIGHT(하이라이트),20%,18000
THANK YOU [미니 6집],BRAVE GIRLS(브레이브걸스),20%,24000
REAL LOVE [정규 2집] [FLORAL VER],OH MY GIRL(오마이걸),20%,24000
REAL LOVE [정규 2집] [FRUITY VER],OH MY GIRL(오마이걸),19%,48000
REAL LOVE [정규 2집] [2종 세트],OH MY GIRL(오마이걸),19%,22000
COME AWAY WITH ME,박수진,19%,16500
LILY, LILY [EP],권여름,19%,16500
사계(SEASONS) [EP],건우,19%,17500
시샘달 PART.1 [정규 1집],SWAN(수안),19%,22000
사람 마음,김민성,20%,12500
ABOUT [EP],ACHII(에이치),20%,24000
THE REVE FESTIVAL 2022: FEEL MY RHYTHM [ORGEL VER] [미니 CD],RED VELVET(레드벨벳),19%,24000
